,Compounds,Neg,Neu,Pos,Date
98,0.262360714,0.036910714,0.835589286,0.127482143,daily_general_discussion_october_13_2017
99,0.125423684,0.052078947,0.863289474,0.084605263,daily_general_discussion_october_14_2017
100,0.355902174,0.027043478,0.8365,0.136478261,daily_general_discussion_october_15_2017
101,0.23208913,0.044869565,0.810913043,0.144217391,daily_general_discussion_october_16_2017
102,0.182632813,0.041109375,0.8729375,0.085921875,daily_general_discussion_october_17_2017
103,0.221664815,0.0525,0.857351852,0.090203704,daily_general_discussion_october_18_2017
104,0.386663636,0.051636364,0.808545455,0.139818182,daily_general_discussion_october_19_2017
105,0.165913043,0.037565217,0.852086957,0.110391304,daily_general_discussion_october_1_2017
106,0.249930233,0.036348837,0.851372093,0.112325581,daily_general_discussion_october_20_2017
107,-0.018314286,0.053428571,0.915285714,0.031142857,daily_general_discussion_october_21_2017
108,0.16010303,0.038060606,0.882545455,0.07930303,daily_general_discussion_october_22_2017
109,0.146543548,0.044854839,0.870629032,0.084532258,daily_general_discussion_october_23_2017
110,0.161016667,0.034625,0.875638889,0.089722222,daily_general_discussion_october_24_2017
111,0.14360339,0.057627119,0.862542373,0.07979661,daily_general_discussion_october_25_2017
112,0.222567308,0.037423077,0.845076923,0.117480769,daily_general_discussion_october_26_2017
113,0.280267347,0.030632653,0.845408163,0.124,daily_general_discussion_october_27_2017
114,0.209975676,0.060108108,0.846594595,0.093378378,daily_general_discussion_october_28_2017
115,0.29141,0.028775,0.819125,0.152175,daily_general_discussion_october_29_2017
116,0.298623333,0.0255,0.881133333,0.093333333,daily_general_discussion_october_2_2017
117,0.237852174,0.022318841,0.877333333,0.100289855,daily_general_discussion_october_30_2017
118,0.175750769,0.043553846,0.861784615,0.094630769,daily_general_discussion_october_31_2017
119,0.13842,0.0303,0.886075,0.083625,daily_general_discussion_october_3_2017
120,0.048052778,0.067166667,0.85175,0.081111111,daily_general_discussion_october_4_2017
121,0.189685714,0.041428571,0.861,0.097571429,daily_general_discussion_october_5_2017
122,0.186170968,0.019709677,0.895096774,0.085193548,daily_general_discussion_october_6_2017
123,0.156152,0.05104,0.85956,0.08932,daily_general_discussion_october_7_2017
124,0.280690323,0.100806452,0.762258065,0.136903226,daily_general_discussion_october_8_2017
125,0.1968775,0.047075,0.862275,0.09065,daily_general_discussion_october_9_2017
126,0.360807143,0.023785714,0.866285714,0.109928571,daily_general_discussion_september_18_2017
